Base Form, Derived Words
ever, ever
★ exhibit, ★ exhibit
exhibition, exhibition
exile, exile
exit, exit
esteem, esteem
eternal, eternal
evacuate, evacuate
evade, evade
evaporate, evaporate
 estate,  estate
evoke, evoke
exact, exact
 exce,  exceed
 exceed,  exceed
exceedingly, exceedingly
excel, excel
except, except
exception, exception
exceptional, exceptional
exces, excess
excess, excess
 excerpt,  excerpt
k excitement, k excitement
exclaim, exclaim
excursion, excursion
excuse, excuse
exempt, exempt
exercise, exercise
★ exquisite, ★ exquisite
exterior, exterior
external, external
extra, extra
extract, extract
extraordinary, extraordinary
★ expedition, ★ expedition
expel, expel
expend, expend
expenditure, expenditure
expense, expense
explanation, explanation
explicit, explicit
explode, explode
explosion, explosion
explosive, explosive
eagernes, eagerness
eagerness, eagerness
economist, economist
educator, educator
effectively, effectively
egregiously, egregiously
election, election
electronics, electronics
electronic, electronics
elevation, elevation
embarrassment, embarrassment
embodiment, embodiment
emigration, emigration
emotional, emotional
enact, enact
enforcement, enforcement
engrave, engrave
enrage, enrage
enthusiastically, enthusiastically
entitlement, entitlement
enviable, enviable
environmental, environmental
envision, envision
equally, equally
essentially, essentially
ethical, ethical
ethically, ethically
ethnicity, ethnicity
everlast, everlasting
everlasting, everlasting
evolutionary, evolutionary
exactly, exactly
excavation, excavation
excellence, excellence
excessively, excessively
exclusionary, exclusionary
explicatory, explicatory
explicitly, explicitly
exploitation, exploitation
exploration, exploration
extraction, extraction
extraordinarily, extraordinarily
fiction, fiction
field, field
fierce, fierce
fight, fight
figure, figure
finance, finance
financial, financial
find, finding
finding, finding
finite, finite
firm, firm
first, first
fit, fit
fashion, fashion
fashionable, fashionable
favo(u)r, favo(u)r
favo(u)rable, favo(u)rable
favo(u)rite, favo(u)rite
fabric, fabric
fabricate, fabricate
face, face
facet, facet
factor, factor
fade, fade
fail, fail
failure, failure
fair, fair
fairly, fairly
fall, fall
fan, fan
fancy, fancy
fascinate, fascinate
★ form, ★ form
formal, formal
format, format
formation, formation
former, former
formidable, formidable
formula, formula
formulate, formulate
fortunate, fortunate
fortune, fortune
fear, fear
fearful, fearful
feature, feature
federal, federal
federation, federation
feedback, feedback
fertile, fertile
 fe,  feed
 feed,  feed
 feeling,  feeling
 feel,  feeling
★ flaw, ★ flaw
flexible, flexible
fling, fling
fl, fling
flourish, flourish
fold, fold
folk, folk
follow, follow
following force, following force
fore, fore
forecast, forecast
foresee, foresee
forge, forge
★ fruitful, ★ fruitful
frustrate, frustrate
fulfil(1), fulfil(1)
function, function
fund, funding, fund
fundamental, fundamental
 feasible,  feasible
feast, feast
feat, feat
feather, feather
fiber, fiber
file, file
fill, fill
film, film
filter, filter
 fee,  fee
feeble, feeble
★ fellow, ★ fellow
fellowship, fellowship
female, female
feminine, feminine
fence, fence
ferry, ferry
fetch, fetch
feudal, feudal
fever, fever
★ float, ★ float
flock, flock
