Base Form, Derived Words
inclin, inclined
inclined, inclined
instinct , instinct 
instinctively, instinctively
imagine, imagine
imagination, imagination
imaginative , imaginative 
imbalance, imbalance
insurance, insurance
insure, insure
incapable, incapable
inspector, inspector
identifiable, identifiable
invest, invest
immigrate, immigrate
ignorant, ignorant
infection , infection 
intllectual, intllectual
intricacy, intricacy
impatience, impatience
idealised/-ized, idealised/-ized
idealised/-iz, idealised/-ized
isolat, isolated
isolated, isolated
inconsistent, inconsistent
idleness, idleness
idlenes, idleness
visibility, visibility
visualise/-ize, visualise/-ize
involuntary, involuntary
instal(l)ment, instal(l)ment
impressionist, impressionist
 importation,  importation
innocence, innocence
integrity, integrity
illusory, illusory
immersive, immersive
inteligent, inteligent
inteligence, inteligence
imprisonment, imprisonment
instructor, instructor
inflexible, inflexible
interruption, interruption
innovativenes, innovativeness
innovativeness, innovativeness
incidental, incidental
justification, justification
juror , juror 
labo(u)rer, labo(u)rer
lawyer, lawyer
legislator, legislator
landscape, landscape
logic, logic
logical, logical
luxury, luxury
liberty, liberty
literacy, literacy
lure, lure
marked, marked
mark, marked
marketer, marketer
marketing, marketing
market, marketing
misplaced, misplaced
misplac, misplaced
misleading, misleading
mislead, misleading
mportance, mportance
measurement, measurement
monopolise/-ize, monopolise/-ize
manipulation, manipulation
manufacturer, manufacturer
manufactur, manufacturing
manufacturing, manufacturing
memorable, memorable
memorization, memorization
mechanize, mechanize
marry, marry
marriage, marriage
mega, mega
modernise/-ize, modernise/-ize
mysterious, mysterious
mysteriou, mysterious
maximal, maximal
minimise/-ize, minimise/-ize
mismatch, mismatch
normal, normal
norm, norm
neutral, neutral
neutrality, neutrality
nonetheless, nonetheless
nonetheles, nonetheless
nationalization, nationalization
notion, notion
notoriously, notoriously
negotiation, negotiation
noble, noble
novelist, novelist
navigate, navigate
ostate, ostate
owe, owe
overpay, overpay
 opinion,  opinion
occasionally, occasionally
outsource, outsource
organise/-ize, organise/-ize
organisation/-zation, organisation/-zation
overweight, overweight
obese , obese 
overall, overall
optimise/-ize, optimise/-ize
outraged, outraged
outrag, outraged
publication, publication
publish, publish
payout, payout
proof, proof
proceedings, proceedings
proceeding, proceedings
prosecution, prosecution
prosecute, prosecute
placement, placement
possib, possib
perhaps, perhaps
perhap, perhaps
program(me), program(me)
produce, produce
production, production
productivity, productivity
providing, providing
provid, providing
proceed, proceed
proce, proceed
procedure, procedure
prefer, prefer
profit, profit
profitable, profitable
patentable, patentable
prescription, prescription
practically, practically
prompt, prompt
protective, protective
postgraduate, postgraduate
physics, physics
physic, physics
progres, progress
progress, progress
progressive, progressive
profession, profession
professional, professional
professionalise/-ize, professionalise/-ize
positively, positively
paternal, paternal
paternity, paternity
popularity, popularity
popularise/-ize, popularise/-ize
prevail, prevailing
prevailing, prevailing
pandemic, pandemic
president, president
presidential, presidential
particularism, particularism
particularly, particularly
prominent, prominent
participation, participation
prohibit , prohibit 
predominance, predominance
prioritise/-ize, prioritise/-ize
paradoxical, paradoxical
paralysis, paralysis
paralysi, paralysis
passionate, passionate
predatory, predatory
percent , percent 
portrait , portrait 
punishment, punishment
precautionary, precautionary
pyramid, pyramid
retake, retake
researcher, researcher
regulate, regulate
regulation, regulation
replace, replace
replacement, replacement
reserve, reserve
remain, remain
reason, reasoning
reasoning, reasoning
rationalist , rationalist 
requirement, requirement
reinvent, reinvent
 recall,  recall
reminder, reminder
riskiy, riskiy
respectively, respectively
resource, resource
respond, respond
response, response
responsible, responsible
recognise/-ize, recognise/-ize
related, related
relat, related
revelation, revelation
redistribution, redistribution
realise/-ize, realise/-ize
region, region
regardless of, regardless of
reputation, reputation
readines, readiness
readiness, readiness
reflection/-xion, reflection/-xion
reflective, reflective
resist , resist 
resistance, resistance
resistant, resistant
rejection, rejection
readjust, readjust
reaction, reaction
revenue, revenue
rarity, rarity
radically, radically
retirement, retirement
retiree , retiree 
regre, regre
renewal, renewal
refresh, refresh
rallying, rallying
rally, rallying
stalement, stalement
Socialise/-ize, Socialise/-ize
saciologist, saciologist
sociely, sociely
selective, selective
sale, sale
soar, soar
spike, spike
syslematic, syslematic
systematically, systematically
suggestion, suggestion
statistical, statistical
supply, supply
supplement, supplement
stressful, stressful
subsidy, subsidy
subsidise/-ize, subsidise/-ize
subscription, subscription
supposedly, supposedly
succe, succeed
succeed, succeed
successful, successful
succession, succession
successive, successive
 standardised/-iz,  standardised/-ized
 standardised/-ized,  standardised/-ized
search, search
scrutinise/-ize, scrutinise/-ize
superb , superb 
superfluous, superfluous
superfluou, superfluous
sustainabiity, sustainabiity
sustainably, sustainably
satisfied, satisfied
satisfi, satisfied
specialised/-iz, specialised/-ized
specialised/-ized, specialised/-ized
safe, safe
slavery, slavery
stereotypical, stereotypical
sceptical, sceptical
scepticism, scepticism
sufficiency, sufficiency
suppres, suppress
suppress, suppress
skil(l)ful, skil(l)ful
supervise, supervise
supervision, supervision
stabilise/-ize, stabilise/-ize
suitable , suitable 
severely, severely
summarise/-ize, summarise/-ize
sponsorship, sponsorship
sweep, sweeping
sweeping, sweeping
superiority, superiority
scornful, scornful
sharpen, sharpen
stiffly, stiffly
symbolise/-ize, symbolise/-ize
turnover, turnover
trivial, trivial
truth, truth
truly, truly
transformer, transformer
terminology, terminology
typical, typical
territory , territory 
triumph, triumph
type, type
transferability, transferability
treatment, treatment
trigger, trigger
temporarily, temporarily
 twist,  twist
tricky, tricky
transparency, transparency
useles, useless
useless, useless
underus, underused
underused, underused
unhealthy, unhealthy
unconstitutional, unconstitutional
unfocused, unfocused
unfocus, unfocused
uniform, uniform
unionist, unionist
utilise/-ize, utilise/-ize
unless , unless 
uniqueness, uniqueness
uniquenes, uniqueness
unleash, unleash
unprepar, unprepared
unprepared, unprepared
urgency, urgency
ultra, ultra
unilateral, unilateral
virtually, virtually
viscerally, viscerally
vanity, vanity
victory , victory 
volunteer, volunteer
varying, varying
vary, varying
vulnerable, vulnerable
watershed, watershed
watersh, watershed
wreak, wreak
yivid, yivid
